rec_id,SDK_Version,Start_LocationLatitude,Start_LocationLongitude,Start_LocationAltitude,Start_RadioBrand,Start_RadioCountry,Start_RadioNetworkType,Start_RadioNetworkGeneration,Start_RadioHRCellId,Start_RadioRNCId,Start_RadioeNodeBId,Start_RadioOperatorName,Start_RadioIsRoaming,DeviceManufacturer,DeviceName,OS,OSVersion,AverageValue,SIM_Country,SIM_Brand
87863.0,20181030095031,35.94371,139.71239,29.0,NTT docomo,Japan,LTE,4G,80.0,,196283.0,NTT DOCOMO,False,FUJITSU,F-04K,Android,9,0.0,Japan,
187238.0,20181213163457,35.735634,139.69211,0.0,NTT docomo,Japan,LTE,4G,64.0,,189934.0,NTT DOCOMO,False,Sony,SO-02J,Android,7.0,0.0,Japan,
90262.0,20190802193258,35.75299,139.53052,88.0,NTT docomo,Japan,LTE,4G,83.0,,184026.0,NTT DOCOMO,False,SHARP,SH-M08,Android,8.1.0,72.0,Japan,
81895.0,20170922173030,35.744057,139.91057,0.0,NTT docomo,Japan,LTE,4G,81.0,,158171.0,NTT DOCOMO,False,FUJITSU,F-03K,Android,7.1.2,52.0,Japan,
154716.0,20181213163457,35.338795,139.4642,46.6,au,Japan,LTE,4G,1.0,,1001691.0,KDDI,False,Sony,SOV36,Android,8.0.0,56.0,Japan,
92371.0,20180813163841,35.438328,139.35881,0.0,NTT docomo,Japan,LTE,4G,16.0,,171624.0,NTT DOCOMO,False,motorola,Moto G (5S),Android,7.1.1,78.0,Japan,
122131.0,20181030095031.0,35.610916,139.50623,0.0,NTT docomo,Japan,LTE,4G,1.0,,194344.0,NTT DOCOMO,False,Sony,SO-01J,Android,6.0.1,42.0,Japan,
18251.0,20181213163457,35.659954,139.39658,0.0,NTT docomo,Japan,LTE,4G,81.0,,191566.0,NTT DOCOMO,False,SHARP,SH-04H,Android,7.0,0.0,Japan,
173762.0,20181213163457,35.80433,139.69722,62.01825,NTT docomo,Japan,LTE,4G,4.0,,142503.0,NTT DOCOMO,False,SHARP,SH-01K,Android,9,54.0,Japan,
168661.0,20190802193258,35.701115,139.83466,33.899998,,,Unknown,Unknown,,,,,False,Lenovo,601LV,Android,6.0,22.0,Japan,
295914.0,20190802193258.0,35.42762,139.55428,102.21234,SoftBank,Japan,LTE,4,74.0,,665089.0,SoftBank,False,SHARP,702SH,Anrooid,8.0.0,33.0,Japan,
141427.0,20181213163457,35.82316,139.9102,0.0,,,Unknown,Unknown,,,,,False,KYOCERA,503KC,Android,6.0.1,50.0,Japan,
9981.0,20190802193258,35.62305,139.54475,0.0,au,Japan,LTE,4G,5.0,,1000727.0,KDDI,False,Sony,SOV37,Android,9,0.0,Japan,
102639.0,20190802193258,35.604473,139.59842,136.23164,SoftBank,Japan,LTE,4G,4.0,,98268.0,SoftBank,False,Sony,701SO,Android,8.0.0,30.0,Japan,
94572.0,20190802193258,35.28193,139.66913,53.8,SoftBank,Japan,LTE,4G,50.0,,664522.0,SoftBank,False,SHARP,S3-SH,Android,8.0.0,37.0,Japan,
174050.0,20180920140351.0,35.576138,139.47466,98.4,au,Japan,LTE,4G,3.0,,986230.0,KDDI,False,HUAWEI,ANE-LX2J,Android,8.0.0,40.0,Japan,
115816.0,20180105115808.0,36.018658,140.12628,77.85069,NTT docomo,Japan,LTE,4G,82.0,,194418.0,NTT DOCOMO,False,LGE,L-01J,Android,8.0.0,43.0,Japan,
12394.0,20190802193258,35.45806,139.59871,48.55428,NTT docomo,Japan,LTE,4G,81.0,,141195.0,NTT DOCOMO,False,Sony,SO-03K,Android,9,15.0,Japan,
79719.0,20181213163457,35.580147,139.46127,107.22409,NTT docomo,Japan,LTE,4G,69.0,,138761.0,NTT DOCOMO,False,Sony,SO-02K,Android,8.0.0,0.0,Japan,
95732.0,20180412115345,35.908646,139.60226,65.6,SoftBank,Japan,LTE,4G,9.0,,98982.0,Y!mobile,False,LGE,Nexus 5X,Android,8.0.0,33.0,Japan,
216556.0,20180920140351,35.31584,139.47499,0.0,au,Japan,LTE,4tm,2.0,,140394.0,KDDI,False,SHAeRP,506SH,Android,6.0.1,44.0,Japan,
57527.0,20190802193258,35.77782,139.52234,88.87274,NTT docomo,Japan,LTE,4G,16.0,,161710.0,NTT DOCOMO,False,SHARP,SH-RM11,Android,9,0.0,Japan,
18928.0,20190802193258,35.568386,139.41702,143.6,NTT docomo,Japan,LTE,4G,5.0,,181305.0,NTT DOCOMO,False,samsung,SC-02J,Android,9,0.0,Japan,
16584.0,20170922173030,35.51717,139.72247,15.0,NTT docomo,Japan,LTE,4G,83.0,,178765.0,NTT DOCOMO,False,FUJITSU,F-03K,Android,7.1.2,36.0,Japan,
97487.0,20181213163457,35.678467,139.86557,41.0,NTT docomo,Japan,LTE,4G,82.0,,178894.0,NTT DOCOMO,False,samsung,SC-03L,Android,9,40.0,Japan,
55997.0,20181213163457,36.15462,139.39636,69.17023,NTT docomo,Japan,LTE,4G,20.0,,195502.0,NTT DOCOMO,False,SHARP,SH-01K,Android,9,0.0,Japan,
107118.0,20180813163841.0,35.821156,139.41965,123.299995,SoftBank,Japan,LTE,4G,71.0,,635018.0,SoftBank,False,SHARP,706SH,Android,8.0.0,48.0,Japan,
87391.0,20190802193258.0,35.620758,139.56982,58.5,au,Japan,LTE,4G,5.0,,683360.0,KDDI,False,samsung,SCV41,Android,9,0.0,Japan,
5461.0,20181213163457,35.791565,139.46268,119.0,NTT docomo,Japan,LTE,4G,53.0,,132718.0,NTT DOCOMO,False,FUJITSU,F-04K,Android,9,7.0,Japan,
120739.0,20190802193258,35.844692,139.6955,0.0,NTT docomo,Japan,LTE,4G,18.0,,132887.0,NTT DOCOMO,False,Sony,SO-04H,Android,6.0.1,0.0,Japan,
139942.0,20190802193258.0,35.65534,140.10553,81.17157,NTT docomo,Japan,LTE,4G,66.0,,131863.0,NTT DOCOMO,False,samsung,SC-02J,Android,9,37.0,Japan,
62207.0,20181213163457,35.710518,139.79633,0.0,NTT docomo,Japan,LTE,4G,85.0,,187892.0,NTT DOCOMO,False,samsung,SC-02J,Android,9,0.0,Japan,
176799.0,20181030095031,35.46519,139.62306,36.1,au,Japan,LTE,4G,1.0,,670862.0,KDDI,False,samsung,SCV36,Android,8.0.0,56.0,Japan,
129833.0,20181030095031,35.687923,139.72194,0.0,SoftBank,Japan,LTE,4G,77.0,,656456.0,SoftBank,False,HUAWEI,704HW,Android,8.0.0,33.0,Japan,
90793.0,20190802193258,35.665264,139.71974,61.6,NTT docomo,Japan,LTE,4G,80.0,,141306.0,NTT DOCOMO,False,SHARP,SH-M05,Android,8.0.0,44.0,Japan,
140618.0,20181213163457,35.93903,139.30968,0.0,NTT docomo,Japan,LTE,4G,65.0,,193984.0,NTT DOCOMO,False,samsung,SC-04J,Android,8.0.0,0.0,Japan,
18012.0,20170922173030,35.648144,140.03479,0.0,NTT docomo,Japan,LTE,4G,82.0,,172747.0,NTT DOCOMO,False,Sony,SO-01J,Android,7.0,47.0,Japan,
146981.0,20181213163457,35.83287,139.68803,45.899998,SoftBank,Japan,LTE,4G,46.0,,635154.0,SoftBank,False,SHARP,704SH,Android,8.0.0,30.0,Japan,
185001.0,20190802193258,35.630188,139.74109,0.0,NTT docomo,Japan,LTE,4G,84.0,,190935.0,NTT DOCOMO,False,samsung,SM-G930F,Android,8.0.0,41.0,Japan,
119730.0,20180105115808,35.666985,140.04855,0.0,NTT docomo,Japan,LTE,4G,81.0,,152684.0,NTT DOCOMO,False,SHARP,SH-02J,Android,6.0.1,47.0,Japan,
